5.47297,6.1262,5.57956,6.7608,9.03966,6.27972,11.903,5.5184,6.7323,8.09643,5.92317,7.49173,5.9847,8.71748,9.07793,7.51702,5.18693,6.78863,12.5591,8.46095,7.42928,6.04682,5.97927,6.12454,23.2505,5.34371,6.99957,5.78163,6.67086,5.6468,4.89387,7.70751,5.7024,5.72633,6.81424,5.17117,5.36174,4.88663,6.56501,7.25204,5.8086,6.31705,5.59588,7.18458,5.53819,6.67068,6.84151,6.25021,6.10061,14.9855,4.77,6.86265,6.36554,5.61604,7.309
4.92791,5.45235,5.62646,6.24375,7.07664,5.93405,9.31525,4.71165,6.54864,6.94499,6.12411,5.83888,5.35246,7.70722,7.086,5.57825,5.07766,7.47621,11.3495,7.8386,5.06272,5.44223,4.98535,5.56703,27.5098,5.0466,5.8532,4.7727,6.47177,5.10329,4.79875,6.63482,5.86516,4.73858,5.81851,5.16295,6.08759,4.81463,6.65898,5.71739,5.33918,6.03187,5.57841,5.07313,5.30612,5.20572,5.61457,4.90622,5.12204,17.8546,4.40802,5.77303,5.04333,5.21525,7.62881
4.36053,5.42303,4.92551,5.1664,8.4747,7.00058,8.84447,5.91565,6.40859,5.88676,6.01179,7.64566,5.76492,7.26456,6.35445,5.95297,5.35873,7.04953,7.41634,5.80605,4.93138,6.53132,5.1974,5.50878,11.8782,4.85777,6.24355,4.58458,5.30316,4.89869,4.85934,6.08284,4.97002,4.91554,5.677,5.05197,6.31549,4.77512,5.81098,5.50463,5.78322,6.71794,6.61524,5.50972,4.45191,5.47632,5.88461,4.56452,5.54528,10.3685,4.1905,6.21604,5.32451,6.169,6.17196
4.42866,5.46747,4.80023,4.91017,7.71926,6.54001,6.57509,4.85112,5.75288,5.16994,6.29724,5.90164,5.42796,6.96443,6.17252,5.22069,5.11516,8.17525,7.70806,5.13253,5.29382,6.0393,5.19603,5.37441,5.93377,4.79632,7.00677,4.81678,5.44847,5.08797,4.8223,5.89107,4.78228,4.67783,5.22547,4.96061,5.42904,4.87292,5.69352,5.5086,5.594,5.24703,5.24598,5.41775,4.08945,5.113746667,5.50398,5.39185,5.12419,9.97333,4.18066,6.08956,5.13308,5.41781,6.24334
5.56801,5.09845,4.34697,5.47318,6.97441,6.67002,5.80463,4.38816,6.88024,5.00082,5.10676,5.00378,5.16866,7.41189,6.9156,4.97431,4.81488,6.70795,6.20157,4.92408,4.95797,6.09417,4.76094,5.14728,5.89535,4.56044,5.59561,4.35133,5.52734,4.77654,4.33978,6.14053,4.86571,4.58703,5.88235,4.82092,5.16763,4.76199,4.83211,5.13266,6.1786,5.1712,5.41843,5.77641,4.51519,5.206346667,5.77642,5.24802,4.55602,6.9735,4.32459,5.18355,4.9547,4.41246,4.89149
5.40179,4.96065,4.52813,4.59866,6.82251,5.19079,6.52496,4.43511,7.13237,5.17169,5.52027,4.93933,5.24007,7.79438,7.72227,5.06344,4.34585,8.66874,5.65475,4.94582,4.83685,6.29041,4.76644,5.24048,5.35305,4.79128,5.56773,4.74073,4.95962,4.84344,4.64196,6.32198,4.58768,4.91716,5.19103,4.35048,4.39044,4.82708,4.72197,5.07344,4.86158,4.70934,5.84272,4.77777,5.05788,5.101923333,5.41322,6.72572,4.87761,4.73319,4.13101,4.83162,4.62908,4.59478,5.1346
4.36319,4.74284,4.23575,4.75817,5.68303,5.91532,5.87898,4.48461,7.55235,4.36717,5.58321,4.67742,5.28335,7.18826,8.48861,5.26698,4.79981,7.46349,5.61629,5.07309,4.66428,6.20636,4.89102,5.55694,6.36022,4.85473,5.33209,4.45142,5.41695,5.2173,4.68025,6.4438,4.89119,5.08436,4.86432,4.54904,3.97015,4.74939,6.05597,5.43818,5.06898,4.43573,5.24411,5.31836,4.4687,4.96382,5.68123,4.97891,5.40304,4.90126,4.01541,4.79551,4.88211,4.22665,4.967
4.36672,4.59047,4.41582,4.41306,6.217,5.43783,6.35192,4.33965,6.29504,4.80366,5.25145,4.69478,5.37524,7.10859,8.71953,5.32071,4.92998,7.43012,5.92955,4.88255,4.94796,5.93637,4.8496,5.39002,5.70031,4.67793,4.96566,4.70279,5.42721,5.05567,4.18981,6.23507,5.79589,4.59904,4.8831,4.32131,4.36491,4.64658,4.96173,5.23644,4.93744,4.77165,4.824,4.55296,4.89384,4.90345,5.39062,4.7159,4.6347,5.09901,4.01149,5.27588,4.77932,4.63364,5.21068
4.32672,4.50983,4.28243,4.47431,5.5419,5.1221,6.31194,4.36943,6.2625,4.87441,6.2057,4.77155,5.21211,7.22958,9.82223,5.25009,4.72251,6.48809,5.94954,5.02486,4.33653,5.61014,5.22564,5.39652,5.42388,4.71374,4.82053,4.50078,4.9657,4.87905,4.36044,6.50375,5.19704,4.81705,4.55624,4.69742,4.46973,4.7393,4.86524,5.86698,4.95288,4.60019,4.83377,4.53608,4.3764,4.891076667,4.99136,4.76241,4.7855,4.85767,4.21172,5.16086,4.3833,4.77383,4.71065
4.2817,5.10587,4.34233,4.44932,5.69201,4.502,5.70211,4.72376,5.32329,4.8408,5.62663,5.07094,5.10827,7.36811,9.02786,4.96426,4.50284,6.36388,5.85862,4.97491,4.04416,5.54094,5.47984,5.51459,5.32337,4.63072,5.11599,4.46297,5.36648,4.64031,4.57712,6.34291,4.80263,4.6787,4.81838,4.12651,4.9575,4.65217,5.18275,5.53596,4.76312,4.65624,4.75282,4.24039,4.26787,4.87284,5.43264,4.71764,4.91011,4.91663,4.37041,5.00362,4.71948,5.82993,5.32076
